"date","EUR.TWD"
2015-03-31,33.6723
2015-04-01,33.6237
2015-04-02,33.6461
2015-04-03,33.788
2015-04-04,33.9423
2015-04-05,33.9423
2015-04-06,33.8938
2015-04-07,33.6854
2015-04-08,33.5948
2015-04-09,33.4033
2015-04-10,33.1759
2015-04-11,33.1201
2015-04-12,33.1201
2015-04-13,33.121
2015-04-14,33.1347
2015-04-15,33.2099
2015-04-16,33.3225
2015-04-17,33.436
2015-04-18,33.4742
2015-04-19,33.4742
2015-04-20,33.3811
2015-04-21,33.3195
2015-04-22,33.331
2015-04-23,33.3652
2015-04-24,33.4188
2015-04-25,33.4041
2015-04-26,33.4041
2015-04-27,33.203
2015-04-28,33.2713
2015-04-29,33.587
2015-04-30,34.121
2015-05-01,34.4008
2015-05-02,34.4406
2015-05-03,34.4406
2015-05-04,34.3195
2015-05-05,34.2225
2015-05-06,34.4833
2015-05-07,34.7909
2015-05-08,34.5014
2015-05-09,34.388
2015-05-10,34.388
2015-05-11,34.332
2015-05-12,34.485
2015-05-13,34.5966
2015-05-14,34.7816
2015-05-15,34.7182
2015-05-16,34.7984
2015-05-17,34.7984
2015-05-18,34.6583
2015-05-19,34.1975
2015-05-20,33.927
2015-05-21,33.852
2015-05-22,33.7529
2015-05-23,33.5277
2015-05-24,33.5277
2015-05-25,33.4782
2015-05-26,33.3968
2015-05-27,33.3734
2015-05-28,33.4368
2015-05-29,33.6586
2015-05-30,33.7661
2015-05-31,33.7661
2015-06-01,33.6933
2015-06-02,33.9886
2015-06-03,34.4271
2015-06-04,34.8041
2015-06-05,34.6107
2015-06-06,34.5413
2015-06-07,34.5413
2015-06-08,34.7299
2015-06-09,35.1041
2015-06-10,34.9953
2015-06-11,34.8387
2015-06-12,34.7472
2015-06-13,34.8326
2015-06-14,34.8326
2015-06-15,34.7218
2015-06-16,34.7683
2015-06-17,34.7845
2015-06-18,34.9385
2015-06-19,34.816
2015-06-20,34.8156
2015-06-21,34.8156
2015-06-22,34.8517
2015-06-23,34.6087
2015-06-24,34.5503
2015-06-25,34.6321
2015-06-26,34.6161
2015-06-27,34.6329
2015-06-28,34.6329
2015-06-29,34.345
2015-06-30,34.5167
2015-07-01,34.3206
2015-07-02,34.2129
2015-07-03,34.2615
2015-07-04,34.3254
2015-07-05,34.3254
2015-07-06,34.1453
2015-07-07,34.1055
2015-07-08,34.2681
2015-07-09,34.3151
2015-07-10,34.4878
2015-07-11,34.6204
2015-07-12,34.6204
2015-07-13,34.3858
2015-07-14,34.1903
2015-07-15,34.1452
2015-07-16,33.9489
2015-07-17,33.8425
2015-07-18,33.732
2015-07-19,33.732
2015-07-20,33.8294
2015-07-21,33.9095
2015-07-22,34.0824
2015-07-23,34.275
2015-07-24,34.4826
2015-07-25,34.6499
2015-07-26,34.6185
2015-07-27,34.8549
2015-07-28,34.8173
2015-07-29,34.7374
2015-07-30,34.5508
2015-07-31,34.6906
2015-08-01,34.7992
2015-08-02,34.7992
2015-08-03,34.7331
2015-08-04,34.6347
2015-08-05,34.4663
2015-08-06,33.9802
2015-08-07,34.6113
2015-08-08,34.8371
2015-08-09,34.8371
2015-08-10,34.7223
2015-08-11,35.3718
2015-08-12,35.8017
2015-08-13,35.8427
2015-08-14,35.8302
2015-08-15,35.948
2015-08-16,35.948
2015-08-17,35.9291
2015-08-18,35.8909
2015-08-19,35.8965
2015-08-20,36.302
2015-08-21,36.8449
2015-08-22,37.4245
2015-08-23,37.4245
2015-08-24,37.7621
2015-08-25,37.489
2015-08-26,37.2186
2015-08-27,36.56
2015-08-28,36.4
2015-08-29,36.6475
2015-08-30,36.6475
2015-08-31,36.4708
2015-09-01,36.5682
2015-09-02,36.6156
2015-09-03,36.4059
2015-09-04,36.2968
2015-09-05,36.5709
2015-09-06,36.5056
2015-09-07,36.5341
2015-09-08,36.4769
2015-09-09,36.4063
2015-09-10,36.4152
2015-09-11,36.6947
2015-09-12,37.0585
2015-09-13,36.8156
2015-09-14,36.8421
2015-09-15,36.7377
2015-09-16,36.6763
2015-09-17,36.72
2015-09-18,36.8947
2015-09-19,36.7352
2015-09-20,36.8941
2015-09-21,36.7101
2015-09-22,36.6431
2015-09-23,36.6508
2015-09-24,37.1106
2015-09-25,36.9425
2015-09-26,37.2741
2015-09-27,37.2741
2015-09-28,37.0945
2015-09-29,37.2492
2015-09-30,36.9429
2015-10-01,36.6359
2015-10-02,36.8401
2015-10-03,36.669
2015-10-04,36.669
2015-10-05,36.6013
2015-10-06,36.662
2015-10-07,36.769
2015-10-08,36.7048
