"","date","FXR"
"1","2016.07","434.09"
"2","2016.06","433.55"
"3","2016.05","433.43"
"4","2016.04","433.18"
"5","2016.03","431.60"
"6","2016.02","428.82"
"7","2016.01","425.98"
"8","2015.12","426.03"
"9","2015.11","424.61"
"10","2015.10","426.77"
"11","2015.09","426.33"
"12","2015.08","424.79"
"13","2015.07","421.96"
"14","2015.06","421.41"
"15","2015.05","418.96"
"16","2015.04","418.17"
"17","2015.03","414.69"
"18","2015.02","417.83"
"19","2015.01","415.90"
"20","2014.12","418.98"
"21","2014.11","421.47"
"22","2014.10","421.48"
"23","2014.09","420.70"
"24","2014.08","423.07"
"25","2014.07","423.66"
"26","2014.06","423.45"
"27","2014.05","421.65"
"28","2014.04","421.50"
"29","2014.03","419.20"
"30","2014.02","417.98"
