"date","GBP.TWD"
2015-03-31,46.2729
2015-04-01,46.315
2015-04-02,46.1075
2015-04-03,45.9946
2015-04-04,46.1427
2015-04-05,46.1427
2015-04-06,46.0532
2015-04-07,46.0259
2015-04-08,46.1428
2015-04-09,46.0744
2015-04-10,45.7912
2015-04-11,45.7094
2015-04-12,45.7094
2015-04-13,45.8029
2015-04-14,45.9603
2015-04-15,46.1449
2015-04-16,46.2928
2015-04-17,46.3889
2015-04-18,46.3498
2015-04-19,46.3498
2015-04-20,46.302
2015-04-21,46.3126
2015-04-22,46.5113
2015-04-23,46.6484
2015-04-24,46.5825
2015-04-25,46.6513
2015-04-26,46.6513
2015-04-27,46.3882
2015-04-28,46.5306
2015-04-29,46.841
2015-04-30,47.0978
2015-05-01,46.8201
2015-05-02,46.5645
2015-05-03,46.5645
2015-05-04,46.5125
2015-05-05,46.4878
2015-05-06,46.5988
2015-05-07,46.8117
2015-05-08,47.453
2015-05-09,47.3995
2015-05-10,47.3995
2015-05-11,47.6223
2015-05-12,48.0968
2015-05-13,48.1681
2015-05-14,48.162
2015-05-15,47.9837
2015-05-16,47.8022
2015-05-17,47.8022
2015-05-18,47.7425
2015-05-19,47.453
2015-05-20,47.3683
2015-05-21,47.5107
2015-05-22,47.4367
2015-05-23,47.1577
2015-05-24,47.1577
2015-05-25,47.1755
2015-05-26,47.1688
2015-05-27,47.1314
2015-05-28,46.9432
2015-05-29,46.9492
2015-05-30,46.9846
2015-05-31,46.9846
2015-06-01,46.9647
2015-06-02,47.0536
2015-06-03,47.1919
2015-06-04,47.3927
2015-06-05,47.3839
2015-06-06,47.4545
2015-06-07,47.4545
2015-06-08,47.5393
2015-06-09,47.7249
2015-06-10,47.8457
2015-06-11,47.8691
2015-06-12,47.9881
2015-06-13,48.1007
2015-06-14,48.1007
2015-06-15,48.053
2015-06-16,48.2078
2015-06-17,48.4709
2015-06-18,48.7391
2015-06-19,48.7096
2015-06-20,48.7068
2015-06-21,48.7068
2015-06-22,48.6284
2015-06-23,48.5549
2015-06-24,48.5892
2015-06-25,48.5835
2015-06-26,48.7107
2015-06-27,48.8096
2015-06-28,48.8096
2015-06-29,48.6566
2015-06-30,48.549
2015-07-01,48.4
2015-07-02,48.225
2015-07-03,48.1873
2015-07-04,48.0892
2015-07-05,48.0892
2015-07-06,48.1493
2015-07-07,48.116
2015-07-08,47.862
2015-07-09,47.746
2015-07-10,47.9054
2015-07-11,48.1595
2015-07-12,48.1595
2015-07-13,48.1495
2015-07-14,48.2435
2015-07-15,48.5735
2015-07-16,48.5923
2015-07-17,48.6112
2015-07-18,48.6012
2015-07-19,48.6012
2015-07-20,48.6427
2015-07-21,48.5541
2015-07-22,48.65
2015-07-23,48.7144
2015-07-24,48.7393
2015-07-25,48.9395
2015-07-26,48.8953
2015-07-27,49.0085
2015-07-28,49.0332
2015-07-29,49.1207
2015-07-30,49.2228
2015-07-31,49.3286
2015-08-01,49.4864
2015-08-02,49.4864
2015-08-03,49.4317
2015-08-04,49.329
2015-08-05,49.3759
2015-08-06,48.504
2015-08-07,49.082
2015-08-08,49.2169
2015-08-09,49.2169
2015-08-10,49.084
2015-08-11,49.9989
2015-08-12,50.2207
2015-08-13,50.2593
2015-08-14,50.2381
2015-08-15,50.6162
2015-08-16,50.6162
2015-08-17,50.634
2015-08-18,50.7333
2015-08-19,50.8743
2015-08-20,50.9899
2015-08-21,51.2155
2015-08-22,51.5801
2015-08-23,51.5801
2015-08-24,51.6199
2015-08-25,51.2817
2015-08-26,50.7693
2015-08-27,50.0343
2015-08-28,49.8688
2015-08-29,50.4316
2015-08-30,50.4316
2015-08-31,50.0642
2015-09-01,49.8313
2015-09-02,49.734
2015-09-03,49.7141
2015-09-04,49.6333
2015-09-05,49.7675
2015-09-06,49.6787
2015-09-07,49.8818
2015-09-08,50.0649
2015-09-09,50.095
2015-09-10,49.9398
2015-09-11,50.1458
2015-09-12,50.4311
2015-09-13,50.1004
2015-09-14,50.1887
2015-09-15,50.069
2015-09-16,50.1223
2015-09-17,50.3533
2015-09-18,50.4554
2015-09-19,50.4851
2015-09-20,50.7035
2015-09-21,50.5872
2015-09-22,50.7053
2015-09-23,50.3318
2015-09-24,50.4729
2015-09-25,50.2819
2015-09-26,50.5255
2015-09-27,50.5255
2015-09-28,50.3386
2015-09-29,50.2406
2015-09-30,49.913
2015-10-01,49.6542
2015-10-02,49.8623
2015-10-03,49.6413
2015-10-04,49.6413
2015-10-05,49.536
2015-10-06,49.6112
2015-10-07,49.9121
2015-10-08,49.9051
2015-10-09,49.6426
2015-10-10,49.4405
2015-10-11,49.4604
2015-10-12,49.5918
2015-10-13,49.6528
2015-10-14,49.8378
2015-10-15,49.799
2015-10-16,49.9092
2015-10-17,50.1775
2015-10-18,49.9089
2015-10-19,50.0306
2015-10-20,50.0748
2015-10-21,50.0865
2015-10-22,50.0439
2015-10-23,49.8191
2015-10-24,49.7859
2015-10-25,49.7668
2015-10-26,49.6742
2015-10-27,49.8125
2015-10-28,49.7109
2015-10-29,49.7528
2015-10-30,50.0193
2015-10-31,50.0319
2015-11-01,50.0272
2015-11-02,50.1902
2015-11-03,50.0444
2015-11-04,49.8951
2015-11-05,49.715
2015-11-06,49.5803
2015-11-07,49.5803
2015-11-08,49.2206
2015-11-09,49.4414
2015-11-10,49.5037
2015-11-11,49.6159
2015-11-12,49.7564
2015-11-13,50.0621
2015-11-14,50.128
2015-11-15,50.1235
2015-11-16,49.9601
2015-11-17,49.8354
2015-11-18,49.8626
2015-11-19,49.8259
2015-11-20,49.6302
2015-11-21,49.7111
2015-11-22,49.7136
2015-11-23,49.4481
2015-11-24,49.228
2015-11-25,49.0709
2015-11-26,49.1287
2015-11-27,49.2283
2015-11-28,49.1371
2015-11-29,48.9426
2015-11-30,49.1454
2015-12-01,49.2652
2015-12-02,49.2122
2015-12-03,49.0957
2015-12-04,49.3375
2015-12-05,49.545
2015-12-06,49.5455
2015-12-07,49.4621
2015-12-08,49.627
2015-12-09,49.5742
2015-12-10,49.8223
2015-12-11,49.9285
2015-12-12,50.2066
2015-12-13,50.1011
2015-12-14,49.8818
2015-12-15,49.6205
2015-12-16,49.228
2015-12-17,49.1663
2015-12-18,49.0739
2015-12-19,48.9242
2015-12-20,48.9218
2015-12-21,49.0131
2015-12-22,48.8558
2015-12-23,48.7682
2015-12-24,48.8532
2015-12-25,49.0576
2015-12-26,49.2378
2015-12-27,49.2393
2015-12-28,48.9062
2015-12-29,48.799
2015-12-30,48.7898
2015-12-31,48.7076
2016-01-01,48.7023
2016-01-02,48.7139
2016-01-03,48.6007
2016-01-04,48.7453
2016-01-05,48.6648
2016-01-06,48.7415
2016-01-07,48.6568
2016-01-08,48.6424
2016-01-09,48.5551
2016-01-10,48.5556
2016-01-11,48.5445
2016-01-12,48.4149
2016-01-13,48.2339
2016-01-14,48.2738
2016-01-15,48.2206
2016-01-16,47.8502
2016-01-17,47.9515
2016-01-18,47.9221
2016-01-19,47.8089
2016-01-20,47.7644
2016-01-21,47.7612
2016-01-22,47.8675
2016-01-23,47.8722
2016-01-24,47.868
2016-01-25,47.8246
2016-01-26,47.8346
2016-01-27,48.084
2016-01-28,48.0383
2016-01-29,47.9172
2016-01-30,47.6749
2016-01-31,47.7941
2016-02-01,47.7675
2016-02-02,48.2248
2016-02-03,48.5148
2016-02-04,48.4767
2016-02-05,48.3205
2016-02-06,48.3528
2016-02-07,48.3526
2016-02-08,48.342
2016-02-09,48.1577
2016-02-10,48.0799
2016-02-11,47.7874
2016-02-12,47.8772
2016-02-13,47.9452
2016-02-14,47.9502
2016-02-15,47.9668
2016-02-16,47.7746
2016-02-17,47.6123
2016-02-18,47.6414
2016-02-19,47.6767
2016-02-20,47.9624
2016-02-21,47.9606
2016-02-22,47.1695
2016-02-23,46.9016
2016-02-24,46.527
2016-02-25,46.3593
2016-02-26,46.4117
2016-02-27,46.2451
2016-02-28,46.1197
2016-02-29,46.2007
2016-03-01,46.2275
2016-03-02,46.32
2016-03-03,46.4643
2016-03-04,46.3838
2016-03-05,46.2811
2016-03-06,46.2802
2016-03-07,46.4233
2016-03-08,46.6513
2016-03-09,46.6613
2016-03-10,46.7519
2016-03-11,46.8762
2016-03-12,46.9388
2016-03-13,47.0455
2016-03-14,46.9116
2016-03-15,46.6961
2016-03-16,46.3406
2016-03-17,46.5715
2016-03-18,46.9025
2016-03-19,46.9736
2016-03-20,46.9745
2016-03-21,46.6799
2016-03-22,46.3728
2016-03-23,46.0227
2016-03-24,45.9951
2016-03-25,46.0983
2016-03-26,46.1172
2016-03-27,46.116
2016-03-28,46.2811
2016-03-29,46.5569
2016-03-30,46.56
2016-03-31,46.295
2016-04-01,46.1445
2016-04-02,45.927
2016-04-03,45.9271
