"","title..1.","phone","addre"
"1","七堵百福店","02-2451-0818","基隆市七堵區百三街98號"
"2","七堵明德店","02-2456-9338","基隆市七堵區明德一路212號一樓"
"3","基隆北寧店","02-2469-8685","基隆市中正區北寧路327-1號"
"4","基隆義二店","02-2428-5063","基隆市中正區信一路173號"
"5","基隆新豐店","02-2469-0985","基隆市中正區新豐街300號"
"6","基隆孝一店","02-2427-7080","基隆市仁愛區孝一路26號"
"7","基隆長庚店","02-2434-5585","基隆市安樂區安樂路2段126號"
"8","基隆樂一店","02-2423-0758","基隆市安樂區樂一路2之1號"
"9","基隆東信店","02-2466-8000","基隆市信義區東信路322號(基隆女中旁)"
"10","士林文林店","02-8866-5800","台北市士林區文林路499號"
"11","台北延平店","02-2816-3985","台北市士林區延平北路6段62號"
"12","士林劍潭店","02-2885-5755","台北市士林區承德路四段31號"
"13","天母德行店","02-2834-7722","台北市士林區德行東路241號"
"14","台北民生店","02-2550-9498","台北市大同區民生西路162號之一"
"15","台北民族店","02-2599-2795","台北市大同區民族西路155號"
"16","台北長安店","02-2552-5188","台北市大同區長安西路25號"
"17","大安微風店","02-2776-6350","台北市大安區大安路一段16巷2號"
"18","台北和平東店","02-8732-3788","台北市大安區和平東路三段342號"
"19","台北吉林店","02-2543-1472","台北市中山區吉林路201號"
"20","台北長安東店","02-2777-4088","台北市中山區長安東路二段173號"
"21","台北長春店","02-2581-3997","台北市中山區長春路146號1樓"
"22","台北錦州店","02-2521-6708","台北市中山區錦州街28-8號"
"23","台北榮星店","02-2517-1525","台北市中山區龍江路358號1樓"
"24","台北汀洲店","02-2364-5099","台北市中正區同安街57號"
"25","台北寧波東店","02-2327-9699","台北市中正區寧波東街6號"
"26","內湖文德店","02-2799-8076","台北市內湖區文德路2號1樓"
"27","東湖康樂店","02-2630-5252","台北市內湖區康樂街72巷2號1F"
"28","木柵秀明店","02-2936-2458","台北市文山區木柵路二段167號"
"29","木柵木新店","02-2234-8416","台北市文山區木新路2段220號"
"30","台北景美店","02-8663-7865","台北市文山區景文街42號1樓"
"31","北投育仁店","02-2892-1313","台北市北投區中央北路一段98號"
"32","北投中和店","02-2897-8385","台北市北投區中和街335號"
"33","台北京華店","02-2528-3878","台北市松山區八德路四段202號1樓"
"34","台北光復北店","02-2747-0885","台北市松山區光復北路167號"
"35","台北永吉店","02-2748-5225","台北市信義區永吉路269號"
"36","台北莊敬店","02-2722-2686","台北市信義區莊敬路416號"
"37","台北同德店","02-2785-3000","台北市南港區同德路26號"
"38","台北中研店","02-2653-8085","台北市南港區研究院路一段110號"
"39","台北中華店","02-2333-1107","台北市萬華區中華路二段412號1樓"
"40","萬華萬大店","02-2303-5577","台北市萬華區萬大路386號"
"41","台北西門店","02-2389-6622","台北市萬華區漢中街151號"
"42","萬華廣州店","02-2336-7992","台北市萬華區廣州街150號"
"43","台北寶興店","02-2332-8882","台北市萬華區寶興街92號"
"44","台北八里店","02-2610-7575","新北市八里區中山路二段538號"
"45","三重三和店","02-2286-9585","新北市三重區三和路四段272號"
"46","三重中正店","02-2985-8586","新北市三重區中正北路344號"
"47","三重中華店","02-8983-3557","新北市三重區中華路73號"
"48","三重仁愛店","02-2984-6268","新北市三重區分子尾街45號1樓"
"49","三重自強店","02-2987-2185","新北市三重區自強路一段222號"
"50","三重重陽店","02-2982-9059","新北市三重區重陽路3段126號"
"51","三重集美店","02-2978-0530","新北市三重區重新路4段104號"
"52","三重重新店","02-2970-6070","新北市三重區重新路一段100號"
"53","三峽中華店","02-8672-2352","新北市三峽區中華路46號"
"54","三峽文化店","02-2673-3336","新北市三峽區文化路152號"
"55","三峽民生店","02-2673-7778","新北市三峽區民生街29號"
"56","三峽復興店","02-8672-2588","新北市三峽區復興路369號"
"57","土城延和店","02-2261-7085","新北市土城區延和路217號"
"58","土城明德店","02-2263-2955","新北市土城區明德路一段51號"
"59","土城裕民店","02-2274-7766","新北市土城區裕生路1號1樓"
"60","中和環球店","02-3234-5956","新北市中和區中山路3段178號"
"61","中和圓通店","02-2243-5779","新北市中和區中正路226號"
"62","板橋民德店","02-2964-5599","新北市中和區民德路1號"
"63","中和南華店","02-8245-2626","新北市中和區南華路89號"
"64","中和員山店","02-2228-9596","新北市中和區員山路220號"
"65","中和興南店","02-8942-3636","新北市中和區興南路二段47號"
"66","五股成泰店","02-8295-8385","新北市五股區成泰路二段156號1樓"
"67","永和頂溪店","02-2920-9598","新北市永和區永和路二段105號1F"
"68","永和永貞店","02-2929-2255","新北市永和區永貞路240號1樓"
"69","永和保平店","02-2929-7275","新北市永和區保平路22號"
"70","永和得和店","02-2946-4068","新北市永和區得和路320號"
"71","汐止中興店","02-2692-5885","新北市汐止區中興路141號1樓"
"72","汐止忠孝店","02-8648-5785","新北市汐止區忠孝東路361號"
"73","汐止建成店","02-2643-4585","新北市汐止區建成路37巷1號"
"74","汐止新台五店","02-8642-1285","新北市汐止區新台五路一段210號"
"75","汐止樟樹店","02-2691-8867","新北市汐止區樟樹一路121號"
"76","板橋大仁店","02-2271-0077","新北市板橋區大仁街16號"
"77","板橋中山店","02-2957-8855","新北市板橋區中山路一段266號1樓"
"78","板橋仁化店","02-8251-2209","新北市板橋區仁化街2號"
"79","板橋文化店","02-2255-4555","新北市板橋區文化路一段186號"
"80","板橋四川店","02-2959-7166","新北市板橋區四川路一段166號"
"81","板橋四維店","02-8251-1986","新北市板橋區四維路126號1F"
"82","板橋國光店","02-2969-9888","新北市板橋區國光路189號"
"83","板橋國慶店","02-8951-8545","新北市板橋區國慶路280號"
"84","板橋莒光店","02-2258-0388","新北市板橋區莒光路64號"
"85","板橋南雅店","02-2967-2485","新北市板橋區新興路2號"
"86","樹林金門店","02-8675-3185","新北市板橋區溪北路172號"
"87","板橋大同店","02-8258-1509","新北市板橋區雙十路二段10號1樓"
"88","林口竹林店","02-8601-1877","新北市林口區竹林路35號"
"89","金山中山店","02-2498-2888","新北市金山區中山路106號"
"90","泰山明志店","02-2909-2120","新北市泰山區明志路一段519號"
"91","台北泰山店","02-2908-3237","新北市泰山區明志路三段165號"
"92","淡水中山店","02-2629-5285","新北市淡水區中山北路一段149巷15號"
"93","淡水竹圍店","02-2809-4688","新北市淡水區民權路99之5號1F"
"94","淡水學府店","02-2625-9177","新北市淡水區學府路1號"
"95","新店中正店","02-2915-6110","新北市新店區中正路2號"
"96","新店中興店","02-2916-0385","新北市新店區中興路三段133號"
"97","新店碧潭店","02-2910-5185","新北市新店區北宜路1段9號"
"98","新店安和店","02-2212-9159","新北市新店區安和路2段207號"
"99","新店安康店","02-2211-8208","新北市新店區安德街173號（安康路口）"
"100","新店永安店","02-8941-0785","新北市新店區新和街75號1樓"
"101","新莊龍安店","02-8201-9977","新北市新莊區八德街151號"
"102","新莊中平店","02-8992-8787","新北市新莊區中平路84號"
"103","新莊中華店","02-2998-7629","新北市新莊區中華路一段28號"
"104","新莊化成店","02-8521-6307","新北市新莊區化成路283號"
"105","新莊民安店","02-2208-1488","新北市新莊區民安西路86號"
"106","幸福中港店","02-2998-2180","新北市新莊區幸福路602號之1"
"107","新莊昌平店","02-8992-8953","新北市新莊區昌平街57號"
"108","新莊建安店","02-2206-8106","新北市新莊區建安街103號"
"109","新莊富國店","02-2903-0088","新北市新莊區裕民街2號"
"110","新莊幸福店","02-2277-5001","新北市新莊區福壽街76號"
"111","瑞芳明燈店","02-2406-3322","新北市瑞芳區明燈路三段35號"
"112","萬里野柳店","02-2492-5800","新北市萬里區港東路65-1號"
"113","樹林中山店","02-2684-1585","新北市樹林區中山路一段94號1F"
"114","樹林中華店","02-8686-7301","新北市樹林區中華路68號"
"115","樹林育英店","02-2687-0685","新北市樹林區育英街49號"
"116","樹林保安店","02-2675-0898","新北市樹林區復興路2號"
"117","蘆洲光華店","02-2285-3808","新北市蘆洲區光華路174號"
"118","蘆洲長安店","02-2288-0968","新北市蘆洲區長安街225號1樓"
"119","蘆洲復興店","02-8281-2727","新北市蘆洲區復興路21號"
"120","鶯歌國慶店","02-2670-9603","新北市鶯歌區建國路154號"
"121","鶯歌鶯桃店","02-2679-9555","新北市鶯歌區鶯桃路656號"
"122","桃園八德店","03-218-8568","桃園市八德區介壽路1段796號"
"123","八德興豐店","03- 368-8750","桃園市八德區介壽路二段1024號"
"124","八德介壽店","03-377-4848","桃園市八德區介壽路二段390號"
"125","大園中山店","03-386-0885 / 386-0999","桃園市大園區中山南路1號1F"
"126","桃園大溪店","03-387-9338","桃園市大溪區復興路38號"
"127","中壢壢中店","03-493-6286","桃園市中壢區三光路84號"
"128","中壢中原店","03-283-0556","桃園市中壢區中山東路一段299號"
"129","中壢中央東店","03-426-4826","桃園市中壢區中央東路70號"
"130","內壢中華店","03-463-9861","桃園市中壢區中華路一段218號"
"131","中壢福州店","03-461-8555","桃園市中壢區中園路157號"
"132","中壢民族店","03-420-1127","桃園市中壢區民族路五段461號"
"133","中壢龍慈店","03-416-2378","桃園市中壢區後興路一段183號"
"134","中壢元化店","03-426-6420","桃園市中壢區新生路223號"
"135","中壢中山店","03-492-3377","桃園市中壢區新明里中山路517號"
"136","中壢龍岡店","03-436-2300、436-2600","桃園市中壢區龍東路257號"
"137","中壢環中店","03-285-4792","桃園市中壢區環中東路192號"
"138","平鎮中豐店","03-419-2246","桃園市平鎮區中豐路山頂段210號"
"139","平鎮文化店","03-492-1228","桃園市平鎮區文化街24巷2號"
"140","平鎮金陵店","03-467-9933","桃園市平鎮區和平路1號"
"141","平鎮延平店","03-281-0909","桃園市平鎮區延平路3段9號"
"142","中壢振興店","03-428-5631、428-5627","桃園市平鎮區振興路24號"
"143","平鎮義民店","03-495-0851","桃園市平鎮區義民路148號"
"144","八德永豐店","03-369-0123","桃園市桃園區八德區永豐路556號"
"145","桃園力行店","03-335-0350","桃園市桃園區力行路34號"
"146","桃園大有店","03-326-6577","桃園市桃園區大有路493號"
"147","桃園大業店","03-316-8195","桃園市桃園區大業路一段156號1F"
"148","桃園中山(縣府)店","03-336-2769","桃園市桃園區中山路404號"
"149","桃園中正店","03-315-1985","桃園市桃園區中正路1065號"
"150","桃園北興店","03-332-4802","桃園市桃園區中正路325號"
"151","桃園中華店","03-337-6565","桃園市桃園區中華路83號"
"152","桃園永安北店","03-301-1047","桃園市桃園區永安北路466號"
"153","桃園中路店","03-341-4788","桃園市桃園區永安路1018號"
"154","桃園經國店","03-326-0076","桃園市桃園區南平路100號"
"155","桃園桃鶯店","03-375-7673","桃園市桃園區桃鶯路70之3號"
"156","桃園泰昌店","03-220-2230","桃園市桃園區泰昌三街58號1樓"
"157","楊梅環東店","03-478-6088","桃園市桃園區楊梅區環東路438號"
"158","桃園龍安店","03-217-2512","桃園市桃園區龍安街142號"
"159","新屋中山店","03-477-0990","桃園市新屋區中山路314號"
"160","楊梅中山店","03-431-3897、431-4153","桃園市楊梅區中山北路2段89號"
"161","楊梅行善店","03-485-0685","桃園市楊梅區中山北路一段77號"
"162","楊梅埔心店","03-481-1880","桃園市楊梅區永美路200號"
"163","楊梅新成店","03-478-7111、478-7222","桃園市楊梅區新成路165號"
"164","龍潭北龍店","03-479-1185","桃園市龍潭區北龍路148號"
"165","林口長庚店","03-318-2952","桃園市龜山區文化二路13號"
"166","桃園萬壽店","03-320-2003","桃園市龜山區陸光路一號"
"167","迴龍龍華店","02-8200-3385","桃園市龜山區萬壽路一段302號"
"168","桃園福竹店","03-323-0685","桃園市蘆竹區大竹路495號"
