id,address,square,price,Response_X,Response_Y
1,台北市-萬華區 東園街X號1樓,63.12,48000,121.495606,25.027591
2,台北市-士林區 承德路四段X號1樓,42,98000,121.521924,25.079789
3,台北市-中正區 和平西路一段X號1樓,25,100000,121.521477,25.02709
4,台北市-內湖區 內湖路一段X號,20,170000,121.559115,25.085345
5,台北市-大安區 大安路一段X號1樓,95,400000,121.546008,25.044847
6,台北市-內湖區 洲子街X號1樓,106,320000,121.571559,25.080292
7,台北市-文山區 木柵路二段X號1樓,30,45000,121.558803,24.988865
9,台北市-中山區 南京東路二段X號1+2樓,33,130000,121.528271,25.052291
10,台北市-萬華區 成都路X號7樓,56,100000,121.507953,25.042645
12,台北市-大安區 復興南路二段X號,30,100000,121.543792,25.032595
13,台北市-中正區 汀州路三段X號1樓,21,110000,121.528752,25.016064
15,台北市-中正區 仁愛路二段X號2樓,97,240000,121.525585,25.038065
16,台北市-中正區 羅斯福路三段X號1樓,28,170000,121.524659,25.023391
17,台北市-中正區 寧波西街X號1樓,120,200000,121.518813,25.031389
18,台北市-中正區 重慶南路二段X號1樓,25,58000,121.513971,25.034083
19,台北市-中正區 博愛路X號1樓,149,450000,121.511712,25.046306
20,台北市-中正區 南陽街X號3樓,30,120000,121.516171,25.045373
21,台北市-中正區 南昌路二段X號1樓,358,550000,121.519374,25.028204
22,台北市-中正區 南昌路一段X號1樓,40,150000,121.515671,25.033582
23,台北市-中正區 忠孝東路二段X號1樓,30,148800,121.530343,25.042799
24,台北市-中正區 忠孝西路一段X號1樓,233,778000,121.517531,25.045727
25,台北市-中正區 忠孝西路一段X號1樓,126,516600,121.517531,25.045727
26,台北市-中正區 杭州南路一段X號1樓,84,145000,121.526546,25.043273
27,台北市-中山區 撫順街X號1樓,111,200000,121.521623,25.063677
28,台北市-中山區 德惠街X號1樓,175.37,450000,121.522782,25.066854
29,台北市-中山區 中山北路二段96巷X號1樓,50,80000,121.521688,25.059922
30,台北市-中山區 中山北路一段X號1樓,460,650000,121.519611,25.046198
31,台北市-中山區 中山北路一段105巷X號1樓,36,80000,121.522687,25.050827
32,台北市-中山區 農安街X號1樓,50,66000,121.522755,25.064856
33,台北市-中山區 新生北路二段X號1樓,45,50000,121.527785,25.053913
34,台北市-中山區 新生北路二段X號1樓,50,65000,121.527785,25.053913
35,台北市-中山區 復興北路X之X號1樓,52,320000,121.544268,25.048715
36,台北市-中山區 南京東路三段X號1樓,124,490000,121.537948,25.051784
37,台北市-大同區 寧夏路X號1樓,174,500000,121.515187,25.054417
38,台北市-中山區 復興北路X號1樓,31,80000,121.544268,25.048715
39,台北市-中山區 長春路X號1樓,134,388000,121.52359,25.054858
40,台北市-中山區 南京東路二段X號3樓,320,420000,121.528271,25.052291
41,台北市-中山區 長春路X號1樓,30,120000,121.52359,25.054858
42,台北市-中山區 長春路X號1樓,32,65000,121.52359,25.054858
43,台北市-大安區 仁愛路三段X號1樓,113,450000,121.533477,25.038445
44,台北市-大安區 信義路四段X號1樓,65,390000,121.544127,25.033562
45,台北市-大安區 信義路二段X號1樓,60,450000,121.524658,25.035516
46,台北市-大安區 敦化南路一段190巷X號1樓,25,200000,121.547662,25.042521
47,台北市-松山區 南京東路五段X號1樓,132.9,558000,121.558091,25.05132
48,台北市-松山區 延壽街X號1樓,30,55000,121.568494,25.05737
49,台北市-內湖區 舊宗路一段150巷X號1樓,150,338000,121.576432,25.062098
50,台北市-信義區 永吉路X號1樓,27,68000,121.568165,25.045872
51,台北市-信義區 東興路X號1樓,260,908000,121.565534,25.050247
52,台北市-大安區 仁愛路四段X號1樓,60,320000,121.544882,25.038231
53,台北市-大安區 敦化南路一段X號1樓,40,250000,121.548478,25.047618
54,台北市-松山區 復興北路X號1樓,72,230000,121.544268,25.048715
55,台北市-文山區 景隆街X號2樓,454,230000,121.540295,25.000273
56,台北市-中山區 民權西路X號1樓,27,270000,121.521424,25.062585
57,台北市-大安區 忠孝東路四段X號1樓,40,380000,121.54399,25.041391
58,台北市-大安區 羅斯福路二段X號,30,250000,121.521164,25.029148
59,台北市-中山區 中山北路二段X號,25,100000,121.522373,25.052663
60,台北市-中山區 民生東路二段X號1樓,110,190000,121.529165,25.05787
61,台北市-士林區 中正路X號,34,250000,121.52906,25.096419
62,台北市-中正區 汀州路二段X號1樓,80,120000,121.518434,25.025074
63,台北市-士林區 中正路X號,90,320000,121.52906,25.096419
64,台北市-松山區 南京東路五段X號1樓,72,360000,121.558091,25.05132
65,台北市-中正區 青島東路X號1樓,380,700000,121.521123,25.044196
66,台北市-大安區 永康街X號,15,80000,121.529727,25.033236
67,台北市-大安區 基隆路二段X號,30,113000,121.559289,25.032233
68,台北市-內湖區 內湖路一段X號,30,88000,121.559115,25.085345
69,台北市-大安區 市民大道四段X號,40,120000,,
70,台北市-松山區 八德路三段X號,50,80000,121.549328,25.047842
73,台北市-大安區 臨江街X號,18,60000,121.556846,25.029444
74,台北市-松山區 敦化北路X號,30,75000,121.548359,25.051549
75,台北市-大安區 延吉街X號,50,200000,121.553298,25.047912
76,台北市-大安區 四維路X號1樓,60,150000,121.548254,25.036737
77,台北市-大安區 仁愛路四段X號,40,125000,121.544882,25.038231
78,台北市-中正區 金山南路一段X號,60,150000,121.529018,25.039667
79,台北市-中正區 羅斯福路四段X號,12,90000,121.53285,25.015886
80,台北市-大安區 忠孝東路四段X號,60,270000,121.54399,25.041391
