"","title","path"
"1","北部空品區","Psi/North.aspx"
"2","竹苗空品區","Psi/Chu-Miao.aspx"
"3","中部空品區","Psi/Central.aspx"
"4","雲嘉南空品區","Psi/Yun-Chia-Nan.aspx"
"5","高屏空品區","Psi/KaoPing.aspx"
"6","宜蘭空品區","Psi/Yilan.aspx"
"7","花東空品區","Psi/Hua-Tung.aspx"
"8","馬祖","PsiIsland/Matsu.aspx"
"9","金門","PsiIsland/Kinmen.aspx"
"10","澎湖","PsiIsland/Magong.aspx"
"11","基隆","javascript:showInfo('Keelung');"
"12","汐止","javascript:showInfo('Xizhi');"
"13","萬里","javascript:showInfo('Wanli');"
"14","新店","javascript:showInfo('Xindian');"
"15","土城","javascript:showInfo('Tucheng');"
"16","板橋","javascript:showInfo('Banqiao');"
"17","新莊","javascript:showInfo('Xinzhuang');"
"18","菜寮","javascript:showInfo('Cailiao');"
"19","林口","javascript:showInfo('Linkou');"
"20","淡水","javascript:showInfo('Tamsui');"
"21","士林","javascript:showInfo('Shilin');"
"22","中山","javascript:showInfo('Zhongshan');"
"23","萬華","javascript:showInfo('Wanhua');"
"24","古亭","javascript:showInfo('Guting');"
"25","松山","javascript:showInfo('Songshan');"
"26","大同","javascript:showInfo('Datong');"
"27","桃園","javascript:showInfo('Taoyuan');"
"28","大園","javascript:showInfo('Dayuan');"
"29","觀音","javascript:showInfo('Guanyin');"
"30","平鎮","javascript:showInfo('Pingzhen');"
"31","龍潭","javascript:showInfo('Longtan');"
"32","湖口","javascript:showInfo('Hukou');"
"33","竹東","javascript:showInfo('Zhudong');"
"34","新竹","javascript:showInfo('Hsinchu');"
"35","頭份","javascript:showInfo('Toufen');"
"36","苗栗","javascript:showInfo('Miaoli');"
"37","三義","javascript:showInfo('Sanyi');"
"38","豐原","javascript:showInfo('Fengyuan');"
"39","沙鹿","javascript:showInfo('Shalu');"
"40","大里","javascript:showInfo('Dali');"
"41","忠明","javascript:showInfo('Zhongming');"
"42","西屯","javascript:showInfo('Xitun');"
"43","彰化","javascript:showInfo('Changhua');"
"44","線西","javascript:showInfo('Xianxi');"
"45","二林","javascript:showInfo('Erlin');"
"46","南投","javascript:showInfo('Nantou');"
"47","斗六","javascript:showInfo('Douliu');"
"48","崙背","javascript:showInfo('Lunbei');"
"49","新港","javascript:showInfo('Xingang');"
"50","朴子","javascript:showInfo('Puzi');"
"51","臺西","javascript:showInfo('Taixi');"
"52","嘉義","javascript:showInfo('Chiayi');"
"53","新營","javascript:showInfo('Xinying');"
"54","善化","javascript:showInfo('Shanhua');"
"55","安南","javascript:showInfo('Annan');"
"56","臺南","javascript:showInfo('Tainan');"
"57","美濃","javascript:showInfo('Meinong');"
"58","橋頭","javascript:showInfo('Qiaotou');"
"59","仁武","javascript:showInfo('Renwu');"
"60","鳳山","javascript:showInfo('Fengshan');"
"61","大寮","javascript:showInfo('Daliao');"
"62","林園","javascript:showInfo('Linyuan');"
"63","楠梓","javascript:showInfo('Nanzi');"
"64","左營","javascript:showInfo('Zuoying');"
"65","前金","javascript:showInfo('Qianjin');"
"66","前鎮","javascript:showInfo('Qianzhen');"
"67","小港","javascript:showInfo('Xiaogang');"
"68","屏東","javascript:showInfo('Pingtung');"
"69","潮州","javascript:showInfo('Chaozhou');"
"70","恆春","javascript:showInfo('Hengchun');"
"71","臺東","javascript:showInfo('Taitung');"
"72","花蓮","javascript:showInfo('Hualien');"
"73","陽明","javascript:showInfo('Yangming');"
"74","宜蘭","javascript:showInfo('Yilan');"
"75","冬山","javascript:showInfo('Dongshan');"
"76","三重","javascript:showInfo('Sanchong');"
"77","中壢","javascript:showInfo('Zhongli');"
"78","竹山","javascript:showInfo('Zhushan');"
"79","永和","javascript:showInfo('Yonghe');"
"80","復興","javascript:showInfo('Fuxing');"
"81","埔里","javascript:showInfo('Puli');"
"82","馬祖","javascript:showInfo('Matsu');"
"83","金門","javascript:showInfo('Kinmen');"
"84","馬公","javascript:showInfo('Magong');"
"85","關山","javascript:showInfo('Guanshan');"
"86","麥寮","javascript:showInfo('Mailiao');"
"87","彰化(芬園)","javascript:showInfo('Car1');"
"88","彰化(花壇)","javascript:showInfo('Car2');"
"89","彰化(交通)","javascript:showInfo('Car3');"
"90","彰化(國聖)","javascript:showInfo('Car4');"
