"","title","author","time","scraping_time","content_url","content","response","viewcount"
"1","「九二共識」僅一天？台股大幅回檔　專家：行情將短線震盪~線上開戶大昌樹林胡雅惠","胡雅惠","2016-08-11_22:09","2016-08-12_01:03:27","http://www.moneydj.com/forum/showtopic-129302.aspx","台指期開低震盪走低，盤中一度失守9,000點大關，永豐期貨副總廖祿民表示，台股目前盤勢還未有翻空的疑慮，不過指數短線漲幅已高是台股目前最大的利空，在先前強勢的族群都呈現休息的狀態下，預期台股將陷入回檔修正，短線上下方支撐先看頸線8,800、8,900點的位置，而後續觀察重點仍聚焦在台幣的匯率走勢，以及外資在期現貨的佈局方向。美股昨夜小幅收低，加上傳出蘋果砍單供應鏈價格下，蘋概股今日相行失色，影響台股期現貨今日表現。台指期今日以9,125點開出後走勢震盪，惟至10點45分時，驚見一分鐘超過8,000口的成交大量，將指數摜壓回測9,000點，隨即並跌破9,000點至最低8,998點，所幸指數在低檔快速收腳，並重返9,000點上遊走。而觀察今日三大類指期表現，三大期指同步走弱，不過電子族群受到蘋概股、面板股的影響下，盤中跌幅超過1%以上，成為今日的壓盤重心。廖祿民指出，台股前兩日雖然指數有創高，不過在個股表現當中，下跌家數皆大於上漲家數，中小型股已經率先表現弱勢，而今日正式反應出先前強勢領漲的股票，如面板族群、權值股等都呈現休息態勢，在此情況下，預期台股將陷入回檔修正的可能，短線上9,200點成為上檔壓力區，多頭能否再領軍上攻得觀察國際股市及台幣匯率，而目前下方支撐擇先看頸線8,800、8,900點的位置。廖祿民指出，7月份指數在8,800、8,900時，季線乖離達到500點，橫盤整理時了一段時間，然而指數在近期衝高至9000點之上後，季線乖離再度達到500點，目前最好的方式就是以時間的修正取代價格的修正，以橫盤整理取代指數快速下跌;而後續的觀察重點除了台幣的匯率走勢外，還需觀察外資若在期現貨出現同步調節，不排除有翻空的跡象。大昌證券""線上開戶""開始囉~24小時全天線上開戶(請點我)手機開戶真方便請指名:樹林指定營業員:胡雅惠請指名:樹林指定營業員:胡雅惠請指名:樹林指定營業員:胡雅惠夯夯夯手續費在大昌誠信大昌不怕您比較～～證券電子下單、複委託、選擇權和期貨手續費優惠價～大昌手續費讓您喜出望外喔～只要您願意來電～真的不用到處比價直接給您～證券電子下單、複委託、期貨、選擇權手續費優惠價大昌全省預約開戶專線：0935-238-775洽詢開戶或手續費請按我大昌證券股份有限公司樹林分公司營業員：胡雅惠分機電話：(02)2675-6088轉305連絡專線：(02)2675-6130行動電話：0935-238-775LINEID：0935-238-775公司地址：新北市樹林區復興路11號證券商許可證照字號：99金管證總字第0054號委任期貨商：大昌期貨股份有限公司網路系統下單有一定風險，請交易人參考，並特別留意控管證券商許可證照字號:99金管證總字第0054號委任期貨商:大昌期貨股份有限公司歡迎到我的部落格逛逛~http://mypaper.pchome.com.tw/f26756130http://blog.sina.com.tw/ritahu05/http://blog.cnyes.com/My/f220900438/關鍵字epper機器學習寶可夢一例一休太平島期貨手續費、選擇權手續費、當沖手續費、大台手續費、小台手續費、期貨開戶、選擇權開戶、選擇權價差、選擇權保證金、停損單、智慧下單、移動停損單、股票期貨手續費、電子期貨手續費、金融期貨手續費、黃金期貨手續費台北期貨選擇權開戶、桃園期貨選擇權開戶、新竹期貨選擇權開戶、苗栗期貨選擇權開戶、台中期貨選擇權開戶、彰化期貨選擇權開戶、南投期貨選擇權開戶、雲林期貨選擇權開戶、嘉義期貨選擇權開戶、台南期貨選擇權開戶、高雄期貨選擇權開戶、屏東期貨選擇權開戶、宜蘭期貨選擇權開戶、花蓮期貨選擇權開戶、台東期貨選擇權開戶、不限口數全國不分地區低價期貨選擇權手續費","0 "," 61"
"2","2016台股大盤(加權報酬指數)各年度至今日報酬率","朱古力男爵","2016-01-11_13:55","2016-08-12_01:03:30","http://www.moneydj.com/forum/showtopic-118555.aspx","日期投資時間(年)加權股價報酬指數報酬率年化報酬率1/2/200313.034,524.92172.46%7.99%1/2/200412.036,175.7999.63%5.91%1/3/200511.026,482.4290.18%6.00%1/2/200610.037,092.9973.81%5.67%1/2/20079.039,055.4136.15%3.48%1/2/20088.039,845.4225.22%2.84%1/5/20097.025,862.14110.31%11.17%1/4/20106.0210528.2617.10%2.66%1/3/20115.0211998.762.75%0.54%1/2/20124.039618.1128.18%6.36%1/2/20133.0311164.5510.43%3.33%1/2/20142.0312724.76-3.11%-1.55%1/5/20151.0214121.92-12.70%-12.51%1/4/20160.0212,844.34-4.02%-88.20%1/11/20160.0012,328.550.00%","44 "," 3006"
"3","挑戰低標！2012~2016挑戰『台股大盤』記錄","朱古力男爵","2014-05-09_19:41","2016-08-12_01:03:32","http://www.moneydj.com/forum/showtopic-98132.aspx","日期發行量加權股價報酬指數報酬率11/30/20119551.585/9/201413134.937.52%","145 "," 17541"
"4","台股技術面現修正壓力 操作宜轉謹慎","大昌秋如","2016-08-11_18:44","2016-08-12_01:03:34","http://www.moneydj.com/forum/showtopic-129298.aspx","台股今（11）日受到蘋果供應鏈營收不如預期影響，指數開平震盪走低，盤中指數失守9100點整數關卡，尾盤雖然有買盤進場拉抬，但終場指數下跌68點，收在9,131點，成交量為924億元。國泰證期顧問處協理簡伯儀指出，觀察今日大盤盤中走勢，盤中指數不但跌破5日、10日線，且股價也將周一的跳空缺口完全回補，加上股價在回檔過程中，量能明顯放大，顯示短線逢高獲利賣壓加重，雖然大盤收盤時，日K線仍留下68點下影線，且指數回到5日均線附近，代表多方防守力道相當積極，但由於今日5日均線將開始往上扣抵到9,150點的位置，短期均線上升趨勢趨緩，若周一往上缺口再度被回補，短線大盤恐有整理的機會，持股比重較高可做減碼動作。從技術指標來看，RSI指標雖維持在50多方區，KD指標也維持在高檔，但RSI已經回測50附近，日K值也開始出現下彎，明日指數只要無法守穩在9,162點之上（收盤指數要上漲超過31點０，日KD指標將從高檔交叉往下，屆時盤面指標將出現整理，操作上需謹慎。(出處:中時財經投資自有風險,請投資人審慎評估)24小時全天線上開戶服務開跑囉線上開戶網址:http://blog.xuite.net/lai0958/blog/334562661手機開戶真方便:http://ppt.cc/no1uK大昌證券賴秋如歡迎來我的部落格逛逛喔~~http://blog.xuite.net/lai0958/blog","0 "," 69"
"5","2016/08/12 台股操作建議及各類股趨勢","meewu","2016-08-11_18:34","2016-08-12_01:03:35","http://www.moneydj.com/forum/showtopic-129297.aspx","20160812.jpg(169.78K)2016/8/11下午06:34:00按我下載軟體▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇加權股價105年8月12日短線操作建議買進條件一、8月12日盤中指數超過9210，且預估成交量可達930億以上，則應積極買進。賣出條件一、8月12日盤中指數跌破9054，有持股應賣出觀望。▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇大台指105年8月12日短線操作建議買進條件一、8月12日盤中成交價格超過9177.00以上，可擇低買進。▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇小台指105年8月12日短線操作建議買進條件一、8月12日盤中成交價格超過9177.00以上，可擇低買進。▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇電子期105年8月12日短線操作建議一、如盤中成交價格超過373.10以上，後市看好，可擇低買進。賣出條件一、8月12日盤中最高成交價低於371.10，應積極賣出持股。▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇金融期105年8月12日短線操作建議買進條件一、8月12日盤中成交價超過1013.00，且預估成交量可達3900以上，則應積極買進。賣出條件一、8月12日盤中成交價跌破983.00，有持股應賣出觀望。▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇","0 "," 61"
"6","Q2獲利、毛利績優生 可攻可守","大昌以琳","2016-08-11_17:39","2016-08-12_01:03:37","http://www.moneydj.com/forum/showtopic-129295.aspx","上市櫃公司第2季財報將於下周一公布截止，篩選已公布第2季財報中，獲利較去年成長，且毛利率較上季成長的財報績優股，成為盤面上進可攻，退可守的標的，投資人可伺機切入布局。觀察第2季財報績優股，若從獲利較去年成長來看，以美律（2439）年增率高達1,066.67%表現最為亮眼，其次為中鋼（2002）的88.89%，第三名則為瑞智（4532）77.42%。若以毛利率較上季成長來看，以中鋼的152.34%冠居第一，其次為美律的24.69%，第三名則為台橡（2103）的21.58%；若從近5日獲法人資金青睞而言，以中鋼獲法人買超42,779張冠居第一，其次為正新（2105）的26,513張，第三則為神達（3706）的9393張。法人表示，股價要能持續上漲的關鍵，最重要的是基本面表現是否突出，而毛利率代表一間公司產品獲利能力的指標，通常毛利率越高，代表著企業可能掌握產品的關鍵技術、客戶，企業的競爭力也相對越強，因此投資人在參考各公司財報時，不妨從這兩個指標去做觀察留意，也可以趁機檢視自己手上的持股，進行汰弱留強。中鋼受惠今年3月份起國際鋼市好轉，鋼價連續4個月調漲，其中第2季鋼價調漲力道加大。","0 "," 1086"
"7","台股盤中重挫逾百點 回測月線9,052點支撐;開低震盪 台指期後市不看空","大昌廖維凌","2016-08-11_16:17","2016-08-12_01:03:39","http://www.moneydj.com/forum/showtopic-129290.aspx","油價下跌近2.5%，能源股拖累美股四大指數齊翻黑，台積電（2330）、鴻海（2317）營收不如預期，台股今日開低走低。中場跟隨新台幣激烈變化，大盤出現跳水式急殺，電金權值股齊跌，市場憂心外資買超止步，飆股也劇烈拉回，加權指數重挫百點，盤中一連失守9,200點與9,100點兩大關卡，跌破5日線並回測月線9,052點支撐。國內重量級大廠台積電、鴻海7月營收不如預期，多空解讀不一，外資嘴巴上喊不怕，但今早兩檔個股卻遭大舉調節賣出，股價翻黑下挫。台積電一度大跌3.5元，衝擊台股指數逾30點之多，鴻海也跌逾1%。今日市場又傳聞美國蘋果電腦對供應鏈砍價，相關供應鏈毛利率都有下挫風險，可成（2474）近日來連連重挫。加上盤中不少飆股如美律（2439）、智易（3596）出現帽客大舉下車急跌現象，電競電腦大廠微星（2377）盤中大跌6.5%，股王大立光（3008）也出現跳水下跌，占權值股大的面板雙虎友達（2409）、群創（3481）獲利回吐翻黑。台幣攻高又跌回【記者陳雲上／台北報導】紐西蘭央行今宣布降息一碼（0.25個百分點）至2%，紐幣意外不跌逆勢強彈2%，紐幣一口氣飆升至0.7339美元，人民幣中間匯率也大升275個基本點，來到6.6255元，倒是台幣，昨日強彈2.3角，衝上31.225元一年高後，今走疲盤中雖升破31.2再創一年高，但午盤翻貶收今日最低31.28，台幣貶值5.5分，成交量5.72億美元。本文轉載自:http://udn.com/news/story/7250/1888430台指期開低震盪走低，盤中一度失守9,000點大關。永豐期貨副總廖祿民表示，台股目前盤勢還未有翻空的疑慮，不過，指數短線漲幅已高是台股目前最大的利空，在先前強勢的族群都呈現休息的狀態下，預期台股將陷入回檔修正；短線上下方支撐先看頸線8,800、8,900點的位置，後續觀察重點仍聚焦在台幣的匯率走勢，以及外資在期現貨的佈局方向。美股周三小幅收低，加上傳出蘋果砍單供應鏈價格下，蘋概股今日相形失色，影響台股期現貨今日表現。台指期今日以9,125點開出後走勢震盪，惟至10點45分時，驚見一分鐘超過8,000口的成交大量，將指數摜壓回測9,000點，隨即並跌破9,000點關卡至最低8998點，所幸指數在低檔快速收腳，並重返9,000點上遊走。觀察今日三大類指期表現，三大期指同步走弱，不過，電子族群受到蘋概股、面板股的影響下，盤中跌幅超過1%以上，成為今日的壓盤重心。廖祿民指出，台股前兩日雖然指數有創高，不過在個股表現當中，下跌家數皆大於上漲家數，中小型股已經率先表現弱勢，今日正式反應出先前強勢領漲的股票，如面板族群、權值股等都呈現休息態勢。在此情況下，預期台股將陷入回檔修正的可能，短線上9,200點成為上檔壓力區，多頭能否再領軍上攻得觀察國際股市及台幣匯率，而目前下方支撐擇先看頸線8,800、8,900點的位置。廖祿民指出，7月份指數在8,800、8,900時，季線乖離達到500點，橫盤整理一段時間，然而指數在近期衝高至9,000點之上後，季線乖離再度達到500點。目前最好的方式就是以時間修正取代價格修正，以橫盤整理取代指數快速下跌。後續的觀察重點除了新台幣匯率走勢外，還須觀察外資若在期現貨出現同步調節，不排除有翻空的跡象。本文轉載自:http://udn.com/news/story/7255/1888465","0 "," 111"
"8","8/11 盤後報~","sdanny","2016-08-11_15:57","2016-08-12_01:03:41","http://www.moneydj.com/forum/showtopic-129286.aspx","<ed><U+00A0><U+00BC><ed><U+00BE><U+00AF>盤後日報<U+26E4>投資有趣又刺激，但必須每天做功課，每天跟小丹尼學習，就有機會越來越成功<U+26E4><U+2714>指數漲多拉回，避開財報營收欠佳個股。<ed><U+00A0><U+00BD><ed><U+00B4><U+00BC>台股：-68.59點，收9131.83點，成交量924億。<ed><U+00A0><U+00BD><ed><U+00B4><U+00B8>市場傳出蘋果將砍價供應鍊，加上台積電、鴻海7月營收不如預期，引發市場賣壓，金融股亦翻黑，使台股指數終場下跌68點，近期留意震盪風險，宜低接佈局財報績優個股。<ed><U+00A0><U+00BD><ed><U+00B2><U+0088>強勢類股：1<U+FE0F>電子：同欣電6271，神盾6462，美律24392<U+FE0F>非電子：上銀2049，瓦城2729，台化1326資訊來自：群益投顧盤後日報<ed><U+00A0><U+00BC><ed><U+00BE><U+0088>歡迎加入line@小丹尼投資團隊http://line.me/ti/p/%40zwy9653a123321.jpg(22.48K)2016/8/11下午03:56:39","0 "," 149"
"9","外資狂掃貨 金融股躍升成主流","台新小新","2016-08-11_15:19","2016-08-12_01:03:43","http://www.moneydj.com/forum/showtopic-129280.aspx","外資昨天狂掃金融股金融股兼具股價基期偏低、第3季獲利攀升兩大優勢，吸引外資狂掃貨，昨（10）日外資買超前20大股中，金融股高達12檔，配合大股東偏多，金融類股指數以大漲0.9％作收，一舉將台股拱上9,200點，成為台股達成「九二共識」的先鋒部隊。台新投顧研究部協理黃文清指出，今年初金融股曾大跌一波，低點來到838點，與去年4月間盤中高1,268點來看，跌掉430點，跌幅約34％，這波在外資加碼買盤推升，先看反彈一半位置，約在1,053點位置，仍有4～5％的上漲空間。電子股因近期漲幅多，再加上新台幣匯率第3季來強升3％，以外銷為主的電子股出現雜音，尤其中小型電子股較有疑慮，帶動外資資金大舉轉戰金融股，配合大股東近期積極回補持股，偏多心態濃，在外資及大股東二大買盤共同推升下，金融股漲勢凌厲。金融類股指數昨收在1,009點，為去年12月中來新高，成交值99.56億元，為今年6月1日來新高，成交值占比並攀升至12.35％，為今年1月30日以來新高占比，市場人氣匯集，漲勢蛻不可擋。黃文清表示，金融股昨天成交值占比雖再度上升至10％以上，但到目前為止，台股仍呈現健康的類股輪漲，還沒有出現失控，即使電子股走弱，也仍屬於漲多休息，並沒有出現「拉金融出電子」的走勢。因此，黃文清認為，金融股在股價基期偏低及第3季受惠於股利收入、股債雙多的利多激勵下，成為外資青睞的族群，未來金融股股價還有持續上漲的機會。他說，未來觀察重要指標是看，金融股是否突然爆量，成交值站比衝高到二、三成以上，只要沒有出現金融股爆量、電子下殺的情況，台股仍是向上格局。據統計，外資昨天買超台股前20名中金融股占了12檔，包括永豐金、華南金、台新金、第一金、國泰金、富邦金、合庫金、開發金、台企銀、中壽、新光金及元大金等，買超在4,000～1萬張，而第一名的永豐金更逾萬張。資料來源：工商時報台新證小新懂生活就懂投資，您證券投資的智慧好夥伴！最新優惠活動：開戶立即享證券電子下單手續費優惠信用開戶e指通-免出門、免臨櫃，手機一滑輕鬆申辦開戶賞好禮-證券下單我最省，再A下單抵用金！---------------------------------------------------免臨櫃線上開戶由此進請專人與我聯絡button.jpg(7.34K)2016/8/11下午04:47:49","0 "," 158"
"10","【繼大立光漢微科後　台股又誕生「一千金」】","大昌期貨吳佳靜","2016-08-11_15:14","2016-08-12_01:03:45","http://www.moneydj.com/forum/showtopic-129277.aspx","中華電（2412）金雞母精測（6510）在營運持續成長下，股價同步創新高，今天早盤開高後順利突破1000元關卡，最高達1010元，成為大立光（3008）、漢微科（3658）之後，目前第3檔千元高價股。精測昨天舉行法說會，上半年每股純益達8.91元，且對本季展望樂觀，在營運看好及籌碼優勢下，今天早盤一舉突破千元關卡，成為新的台股3千金。資料來源:蘋果日報<以上分享僅供參考，並非投資建議>","0 "," 104"
